[0, 112]
[1, 112]
[1, 113]
[2, 112]
[2, 113]
[3, 112]
[3, 113]
[4, 112]
[5, 112]
[6, 112]
[7, 112]
[8, 112]
[9, 112]
[10, 112]
[11, 112]
[12, 112]
[13, 112]
[14, 112]
[15, 112]
[16, 112]
[17, 112]
[18, 112]
[19, 112]
[20, 112]
[21, 112]
[22, 112]
[23, 112]
[24, 112]
[25, 112]
[26, 112]
[27, 112]
[28, 112]
[29, 112]
[30, 112]
[31, 112]
[32, 112]
[33, 112]
[34, 112]
[35, 112]
[36, 112]
[37, 112]
[38, 112]
[39, 112]
[40, 112]
[41, 112]
[42, 112]
[43, 112]
[44, 112]
[45, 112]
[46, 112]
[47, 112]
[48, 112]
[48, 113]
[49, 112]
[49, 113]
[50, 112]
[50, 113]
[51, 112]
[51, 113]
[52, 112]
[53, 112]
[54, 112]
[55, 112]
[56, 112]
[57, 112]
[58, 112]
[59, 112]
[60, 112]
[61, 112]
[62, 112]
[63, 112]
[64, 112]
[65, 112]
[66, 112]
[67, 112]
[68, 112]
[69, 112]
[70, 112]
[71, 112]
[72, 112]
[73, 112]
[74, 112]
[75, 112]
[76, 112]
[77, 112]
[78, 112]
[79, 112]
[80, 112]
[81, 112]
[82, 112]
[83, 112]
[84, 112]
[85, 112]
[86, 112]
[87, 112]
[88, 112]
[89, 112]
[90, 112]
[91, 112]
[92, 112]
[93, 112]
[94, 112]
[95, 112]
[96, 112]
[97, 112]
[98, 112]
[99, 112]
[100, 112]
[101, 112]
[102, 112]
[103, 112]
[103, 113]
[104, 112]
[104, 113]
[105, 112]
[105, 113]
[106, 112]
[106, 113]
[107, 112]
[107, 113]
[108, 112]
[108, 113]
[109, 112]
[109, 113]
[110, 112]
[111, 112]
[112, 112]
[112, 113]
[113, 112]
[113, 113]
[114, 112]
[114, 113]
[115, 112]
[116, 112]
[116, 113]
[117, 112]
[117, 113]
[118, 112]
[118, 113]
[119, 112]
[119, 113]
[120, 112]
[120, 113]
[121, 112]
[121, 113]
[122, 112]
[122, 113]
[123, 112]
[123, 113]
[124, 112]
[124, 113]
[125, 112]
[125, 113]
[126, 112]
[126, 113]
[127, 112]
[127, 113]
[128, 112]
[128, 113]
[129, 112]
[129, 113]
[130, 112]
[130, 113]
[131, 112]
[131, 113]
[132, 112]
[132, 113]
[133, 112]
[133, 113]
[134, 112]
[134, 113]
[135, 112]
[135, 113]
[136, 112]
[136, 113]
[137, 112]
[137, 113]
[138, 112]
[138, 113]
[139, 112]
[139, 113]
[140, 112]
[141, 112]
[142, 112]
[142, 113]
[143, 112]
[143, 113]
[144, 112]
[145, 112]
[145, 113]
[146, 112]
[146, 113]
[147, 112]
[148, 112]
[148, 113]
[149, 112]
[149, 113]
[150, 112]
[151, 112]
[152, 112]
[153, 112]
[153, 113]
[154, 112]
[154, 113]
[155, 112]
[155, 113]
[156, 112]
[157, 112]
[157, 113]
[158, 112]
[158, 113]
[159, 112]
[159, 113]
[160, 112]
[160, 113]
[161, 112]
[162, 112]
[162, 113]
[163, 112]
[164, 112]
[165, 112]
[166, 112]
[167, 112]
[168, 112]
[169, 112]
[170, 112]
[171, 112]
[172, 112]
[173, 112]
[174, 112]
[175, 112]
[176, 112]
[177, 112]
[178, 112]
[179, 112]
[180, 112]
[181, 112]
[182, 112]
[183, 112]
[184, 112]
[185, 112]
[186, 112]
[187, 112]
[188, 112]
[189, 112]
[190, 112]
[191, 112]
[192, 112]
[193, 112]
[194, 112]
[195, 112]
[196, 112]
[197, 112]
[198, 112]
[199, 112]
[200, 112]
[201, 112]
[202, 112]
[203, 112]
[204, 112]
[205, 112]
[206, 112]
[207, 112]
[208, 112]
[209, 112]
[210, 112]
[211, 112]
[212, 112]
[213, 112]
[214, 112]
[215, 112]
[216, 112]
[217, 112]
[218, 112]
[219, 112]
[220, 112]
[221, 112]
[222, 112]
[223, 112]
[224, 112]
[224, 113]
